CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,1,77183.6,4,New Customer
12347.0,1,182,4310.0,0,High-Value
12348.0,74,31,1797.24,0,High-Value
12349.0,18,73,1757.55,0,High-Value
12350.0,309,17,334.40000000000003,2,Occasional
12352.0,35,85,2506.04,0,High-Value
12353.0,203,4,89.0,2,Occasional
12354.0,231,58,1079.4,2,Occasional
12355.0,213,13,459.40000000000003,2,Occasional
12356.0,22,59,2811.43,0,High-Value
12357.0,32,131,6207.67,0,High-Value
12358.0,1,19,1168.06,0,High-Value
12359.0,57,245,6310.03,0,High-Value
12360.0,51,129,2662.06,0,High-Value
12361.0,286,10,189.9,2,Occasional
12362.0,2,266,5226.2300000000005,0,High-Value
12363.0,109,23,552.0,0,High-Value
12364.0,7,85,1313.1,0,High-Value
12365.0,290,22,641.38,2,Occasional
12367.0,3,11,168.9,0,High-Value
12370.0,50,166,3541.94,0,High-Value
12371.0,44,63,1887.96,0,High-Value
12372.0,71,52,1298.04,0,High-Value
12373.0,310,14,364.6,2,Occasional
12374.0,24,33,742.9300000000001,0,High-Value
12375.0,10,17,457.5,0,High-Value
12377.0,314,77,1628.1200000000001,2,Occasional
12378.0,129,219,4008.62,0,High-Value
12379.0,81,40,852.24,0,High-Value
12380.0,21,104,2724.81,0,High-Value
12381.0,4,87,1845.31,0,High-Value
12383.0,184,99,1850.56,2,Occasional
12384.0,28,27,585.27,0,High-Value
12386.0,337,10,401.9,2,Occasional
12388.0,15,100,2780.6600000000003,0,High-Value
12390.0,79,32,549.84,0,High-Value
12391.0,21,93,439.66,0,High-Value
12393.0,71,64,1582.6000000000001,0,High-Value
12394.0,63,27,1272.48,0,High-Value
12395.0,18,156,3018.63,0,High-Value
12397.0,35,126,2409.9,0,High-Value
12398.0,45,85,1635.6599999999999,0,High-Value
12399.0,118,59,1108.65,0,High-Value
12401.0,302,5,84.3,2,Occasional
12402.0,322,11,225.60000000000002,2,Occasional
12403.0,49,5,427.7,0,High-Value
12405.0,148,54,1710.39,2,Occasional
12406.0,21,105,3415.3,0,High-Value
12407.0,49,77,1708.12,0,High-Value
12408.0,32,105,2888.55,0,High-Value
12409.0,78,109,11072.67,0,High-Value
12410.0,308,26,693.33,2,Occasional
12412.0,74,61,1226.88,0,High-Value
12413.0,66,38,758.1,0,High-Value
12414.0,216,18,562.4100000000001,2,Occasional
12415.0,23,714,124914.53,1,Regular
12417.0,2,192,3649.1,0,High-Value
12418.0,112,34,668.58,0,High-Value
12420.0,63,29,600.39,0,High-Value
12421.0,15,45,807.04,0,High-Value
12422.0,95,39,803.5600000000001,0,High-Value
12423.0,0,125,1859.31,0,High-Value
12424.0,162,30,1760.96,2,Occasional
12425.0,77,36,777.2,0,High-Value
12426.0,194,30,582.73,2,Occasional
12427.0,21,31,825.8000000000001,0,High-Value
12428.0,25,294,7956.46,4,New Customer
12429.0,8,97,3750.4,0,High-Value
12430.0,42,11,256.4,0,High-Value
12431.0,35,234,6419.95,0,High-Value
12432.0,42,108,5059.32,0,High-Value
12433.0,0,420,13375.87,4,New Customer
12434.0,84,50,806.14,0,High-Value
12435.0,79,36,7829.89,0,High-Value
12436.0,99,16,509.01,0,High-Value
12437.0,1,199,4951.41,0,High-Value
12438.0,13,98,2906.85,0,High-Value
12441.0,366,11,173.55,2,Occasional
12442.0,2,12,172.06,0,High-Value
12444.0,20,176,5005.46,0,High-Value
12445.0,21,4,133.4,0,High-Value
12446.0,57,57,1002.3100000000001,0,High-Value
12447.0,242,26,476.49,2,Occasional
12448.0,43,22,449.45,0,High-Value
12449.0,21,191,4067.29,0,High-Value
12450.0,155,8,197.88,2,Occasional
12451.0,10,354,9035.52,4,New Customer
